Root,Dscore,Statistic,Pvalue,AdjPvalue
36,1,8.485,1.08e-17,7.42e-15
36,0.9818,8.479,1.13e-17,7.78e-15
36,0.9259,8.478,1.15e-17,7.9e-15
36,0.9792,8.468,1.25e-17,8.61e-15
36,0.9509,8.438,1.62e-17,1.11e-14
36,0.9792,8.437,1.63e-17,1.12e-14
36,0.982,8.436,1.65e-17,1.13e-14
36,0.9505,8.43,1.73e-17,1.19e-14
36,0.94,8.429,1.74e-17,1.2e-14
36,0.8939,8.418,1.92e-17,1.32e-14
36,0.9421,8.411,2.02e-17,1.39e-14
36,0.9982,8.407,2.11e-17,1.45e-14
36,0.9509,8.371,2.86e-17,1.97e-14
36,0.982,8.367,2.96e-17,2.04e-14
36,0.9259,8.345,3.57e-17,2.45e-14
36,0.9831,8.339,3.73e-17,2.57e-14
36,0.9259,8.335,3.88e-17,2.67e-14
36,0.982,8.268,6.82e-17,4.69e-14
36,0.9259,8.265,7.01e-17,4.82e-14
36,0.9199,8.26,7.31e-17,5.03e-14
36,0.9228,8.259,7.33e-17,5.04e-14
36,0.9071,8.248,8.06e-17,5.55e-14
36,0.9792,8.244,8.31e-17,5.72e-14
36,0.8553,8.243,8.39e-17,5.77e-14
36,0.9792,8.211,1.1e-16,7.57e-14
36,0.9125,8.205,1.15e-16,7.92e-14
36,0.9718,8.166,1.59e-16,1.09e-13
36,0.9641,8.096,2.84e-16,1.96e-13
36,0.9142,8.032,4.8e-16,3.3e-13
36,0.8927,7.99,6.73e-16,4.63e-13
36,0.781,7.964,8.33e-16,5.73e-13
36,0.8939,7.902,1.38e-15,9.47e-13
37,0.9694,9.009,1.04e-19,7.13e-17
37,0.9998,8.987,1.27e-19,8.73e-17
37,1,8.949,1.79e-19,1.23e-16
37,1,8.877,3.44e-19,2.37e-16
37,0.9892,8.865,3.84e-19,2.64e-16
37,0.9998,8.856,4.13e-19,2.84e-16
37,0.9998,8.83,5.25e-19,3.61e-16
37,0.9998,8.806,6.51e-19,4.48e-16
37,0.9998,8.778,8.3e-19,5.71e-16
37,0.9908,8.764,9.46e-19,6.51e-16
37,1,8.735,1.21e-18,8.35e-16
37,1,8.735,1.22e-18,8.36e-16
37,1,8.729,1.29e-18,8.86e-16
37,0.9802,8.726,1.32e-18,9.08e-16
